OBJECTID,GEO_NAME,GEO_PARENT_NAME,DP03_0024E,DP03_0024M
1,Autauga County,Alabama,675,210
2,Baldwin County,Alabama,5607,742
3,Barbour County,Alabama,111,50
4,Bibb County,Alabama,208,123
5,Blount County,Alabama,477,154
6,Bullock County,Alabama,108,81
7,Butler County,Alabama,122,57
8,Calhoun County,Alabama,1439,337
9,Chambers County,Alabama,258,119
10,Cherokee County,Alabama,169,99
11,Chilton County,Alabama,429,190
12,Choctaw County,Alabama,76,52
13,Clarke County,Alabama,74,43
14,Clay County,Alabama,177,102
15,Cleburne County,Alabama,178,76
16,Coffee County,Alabama,592,133
17,Colbert County,Alabama,461,144
18,Conecuh County,Alabama,92,87
19,Coosa County,Alabama,177,107
20,Covington County,Alabama,236,76
21,Crenshaw County,Alabama,236,84
22,Cullman County,Alabama,684,172
23,Dale County,Alabama,605,186
24,Dallas County,Alabama,203,86
25,DeKalb County,Alabama,737,246
26,Elmore County,Alabama,859,221
27,Escambia County,Alabama,81,50
28,Etowah County,Alabama,1646,321
29,Fayette County,Alabama,130,61
30,Franklin County,Alabama,170,89
31,Geneva County,Alabama,171,71
32,Greene County,Alabama,82,72
33,Hale County,Alabama,156,78
34,Henry County,Alabama,148,87
35,Houston County,Alabama,1118,144
36,Jackson County,Alabama,539,150
37,Jefferson County,Alabama,9241,782
38,Lamar County,Alabama,49,26
39,Lauderdale County,Alabama,743,183
40,Lawrence County,Alabama,271,117
41,Lee County,Alabama,2809,435
42,Limestone County,Alabama,1141,253
43,Lowndes County,Alabama,31,20
44,Macon County,Alabama,77,49
45,Madison County,Alabama,6249,590
46,Marengo County,Alabama,205,92
47,Marion County,Alabama,189,93
48,Marshall County,Alabama,1068,258
49,Mobile County,Alabama,7391,673
50,Monroe County,Alabama,215,120
51,Montgomery County,Alabama,3558,461
52,Morgan County,Alabama,980,232
53,Perry County,Alabama,29,42
54,Pickens County,Alabama,419,168
55,Pike County,Alabama,503,181
56,Randolph County,Alabama,311,119
57,Russell County,Alabama,625,191
58,St. Clair County,Alabama,965,243
59,Shelby County,Alabama,5397,515
60,Sumter County,Alabama,50,34
61,Talladega County,Alabama,784,200
62,Tallapoosa County,Alabama,373,126
63,Tuscaloosa County,Alabama,2968,446
64,Walker County,Alabama,532,146
65,Washington County,Alabama,128,106
66,Wilcox County,Alabama,95,60
67,Winston County,Alabama,254,105
68,Aleutians East Borough,Alaska,215,114
69,Aleutians West Census Area,Alaska,47,17
70,Anchorage Municipality,Alaska,6080,595
71,Bethel Census Area,Alaska,314,85
72,Bristol Bay Borough,Alaska,29,25
73,Denali Borough,Alaska,108,109
74,Dillingham Census Area,Alaska,97,31
75,Fairbanks North Star Borough,Alaska,1686,331
76,Haines Borough,Alaska,179,106
77,Hoonah-Angoon Census Area,Alaska,98,33
78,Juneau City and Borough,Alaska,747,178
79,Kenai Peninsula Borough,Alaska,2001,304
80,Ketchikan Gateway Borough,Alaska,200,64
81,Kodiak Island Borough,Alaska,463,125
82,Kusilvak Census Area,Alaska,57,50
83,Lake and Peninsula Borough,Alaska,22,27
84,Matanuska-Susitna Borough,Alaska,2737,277
85,Nome Census Area,Alaska,147,35
86,North Slope Borough,Alaska,94,51
87,Northwest Arctic Borough,Alaska,127,43
88,Petersburg Borough,Alaska,67,34
89,Prince of Wales-Hyder Census Area,Alaska,91,30
90,Sitka City and Borough,Alaska,191,79
91,Skagway Municipality,Alaska,33,11
92,Southeast Fairbanks Census Area,Alaska,379,129
93,Valdez-Cordova Census Area,Alaska,218,106
94,Wrangell City and Borough,Alaska,123,38
95,Yakutat City and Borough,Alaska,17,7
96,Yukon-Koyukuk Census Area,Alaska,164,69
97,Apache County,Arizona,1195,189
98,Cochise County,Arizona,2082,266
99,Coconino County,Arizona,3043,373
100,Gila County,Arizona,832,199
101,Graham County,Arizona,405,141
102,Greenlee County,Arizona,56,40
103,La Paz County,Arizona,380,343
104,Maricopa County,Arizona,130577,2713
105,Mohave County,Arizona,2490,393
106,Navajo County,Arizona,2289,270
