"","OBJECTID","total_pop_worked_home","percent_no_health_insurance","GEOID","NAME","State","avg_household_size","pop_density_sq_km","percent_below_poverty_level","total_population","total_households_w_someone_over_65","total_over_65","White","Black","American_Indian_Alaska_Native","Asian","Native_Hawaiian_Pacific_Islander","Other","Two_or_more","Not_Hispanic_Latino","Hispanic_Latino","date","county","state","cases","deaths","confirmed_cases","confirmed_deaths","probable_cases","probable_deaths","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS"
"1",1,675,7.1,"01001","Autauga County","Alabama",2.59,35.8534189940189,15.04,55200,5730,8050,42437,10565,159,568,32,409,1030,53672,1528,2020-11-30,"Autauga","Alabama",2751,42,2459,37,292,5,0.053,0.074,0.134,0.295,0.444
"2",2,5607,10.2,"01003","Baldwin County","Alabama",2.61,50.5415035640023,11.01,208107,27491,40665,179526,19764,1522,1680,9,2034,3572,198754,9353,2020-11-30,"Baldwin","Alabama",8820,98,7148,84,1672,14,0.083,0.059,0.098,0.323,0.436
"3",3,111,11.2,"01005","Barbour County","Alabama",2.49,11.247981205619,25.94,25782,3325,4634,12216,12266,72,96,1,778,353,24676,1106,2020-11-30,"Barbour","Alabama",1175,11,781,11,394,0,0.067,0.121,0.12,0.201,0.491
"4",4,208,7.9,"01007","Bibb County","Alabama",2.99,13.9731140005546,14.15,22527,2419,3661,17268,5018,8,37,0,9,187,21980,547,2020-11-30,"Bibb","Alabama",1188,17,1072,13,116,4,0.02,0.034,0.096,0.278,0.572
"5",5,477,11,"01009","Blount County","Alabama",2.77,34.5158164233531,14.29,57645,6659,10233,55054,862,141,198,18,437,935,52384,5261,2020-11-30,"Blount","Alabama",2946,40,2213,38,733,2,0.053,0.114,0.18,0.194,0.459
"6",6,108,10.8,"01011","Bullock County","Alabama",2.75,6.41761954967603,33.67,10352,1059,1616,2276,7893,122,56,0,5,0,10301,51,2020-11-30,"Bullock","Alabama",700,19,650,15,50,4,0.031,0.04,0.144,0.286,0.5
"7",7,122,10.2,"01013","Butler County","Alabama",2.94,9.95277078503475,22.91,20025,2231,3806,10414,9055,2,231,0,0,323,19958,67,2020-11-30,"Butler","Alabama",1173,42,1110,41,63,1,0.102,0.053,0.257,0.137,0.451
"8",8,1439,9.4,"01015","Calhoun County","Alabama",2.49,73.3486880019654,19.12,115098,13834,19386,85558,23676,353,1065,9,1701,2736,110895,4203,2020-11-30,"Calhoun","Alabama",6366,121,5320,101,1046,20,0.152,0.108,0.13,0.167,0.442
"9",9,258,10.8,"01017","Chambers County","Alabama",2.46,21.8926380821564,17.86,33826,4558,6409,19483,13319,97,405,0,175,347,33058,768,2020-11-30,"Chambers","Alabama",1772,50,1117,42,655,8,0.117,0.037,0.15,0.136,0.56
"10",10,169,8.3,"01019","Cherokee County","Alabama",2.41,18.0333282957246,17.17,25853,3861,5621,23997,1267,236,55,0,90,208,25455,398,2020-11-30,"Cherokee","Alabama",1029,24,724,18,305,6,0.135,0.027,0.161,0.158,0.52
"11",11,429,14.2,"01021","Chilton County","Alabama",2.6,24.4806693894376,19.13,43930,4946,6927,36599,4148,123,190,0,1858,1012,40514,3416,2020-11-30,"Chilton","Alabama",2250,38,2033,30,217,8,0.06,0.07,0.058,0.194,0.618
"12",12,76,11.4,"01023","Choctaw County","Alabama",2.41,5.52650860439243,22.24,13075,2029,2884,7420,5590,9,13,0,8,35,13002,73,2020-11-30,"Choctaw","Alabama",426,13,386,12,40,1,0.049,0.038,0.126,0.219,0.568
"13",13,74,10.8,"01025","Clarke County","Alabama",2.57,7.60313165232808,27.74,24387,3140,4626,12935,11173,25,123,0,0,131,24339,48,2020-11-30,"Clarke","Alabama",1589,19,1287,18,302,1,0.049,0.088,0.164,0.268,0.43
"14",14,177,10.2,"01027","Clay County","Alabama",2.51,8.55233134503563,19.79,13378,1806,2652,11106,1977,155,18,0,26,96,12963,415,2020-11-30,"Clay","Alabama",920,24,783,23,137,1,0.148,0.158,0.195,0.169,0.329
"15",15,178,12.8,"01029","Cleburne County","Alabama",2.58,10.2973539136845,20.22,14938,1967,2803,14068,393,39,3,0,126,309,14576,362,2020-11-30,"Cleburne","Alabama",774,14,724,12,50,2,0.151,0.125,0.138,0.217,0.368
"16",16,592,10.1,"01031","Coffee County","Alabama",2.56,29.1646729138119,15.01,51288,5786,8375,38923,8829,617,666,0,644,1609,47739,3549,2020-11-30,"Coffee","Alabama",2465,15,1783,8,682,7,0.101,0.152,0.094,0.186,0.466
"17",17,461,8.1,"01033","Colbert County","Alabama",2.48,35.4969499814872,16.65,54495,7189,10502,43288,8615,367,267,29,723,1206,53146,1349,2020-11-30,"Colbert","Alabama",3146,42,2441,40,705,2,0.082,0.096,0.152,0.159,0.51
"18",18,92,14.5,"01035","Conecuh County","Alabama",2.73,5.68299517064302,21.45,12514,1786,2707,6369,5971,56,18,0,2,98,12409,105,2020-11-30,"Conecuh","Alabama",685,14,553,14,132,0,0.099,0.052,0.259,0.192,0.399
"19",19,177,7.8,"01037","Coosa County","Alabama",2.55,6.43888528179168,13.89,10855,1646,2368,7133,3713,9,0,0,0,0,10805,50,2020-11-30,"Coosa","Alabama",346,4,217,4,129,0,0.055,0.131,0.167,0.263,0.384
"20",20,236,11.2,"01039","Covington County","Alabama",2.44,13.9937034591157,18.26,37351,5399,7650,31624,4826,58,159,13,70,601,36747,604,2020-11-30,"Covington","Alabama",2203,34,1241,31,962,3,0.187,0.128,0.129,0.201,0.356
"21",21,236,10,"01041","Crenshaw County","Alabama",2.73,8.79227330633629,17.91,13865,1726,2542,9938,3198,109,188,0,146,286,13590,275,2020-11-30,"Crenshaw","Alabama",712,30,536,28,176,2,0.06,0.091,0.199,0.233,0.416
"22",22,684,11.8,"01043","Cullman County","Alabama",2.64,43.252675634723,15.81,82313,10084,14803,78392,998,348,334,3,793,1445,78770,3543,2020-11-30,"Cullman","Alabama",4474,42,3286,35,1188,7,0.13,0.024,0.249,0.217,0.379
"23",23,605,11.4,"01045","Dale County","Alabama",2.57,33.893125488288,17.63,49255,5563,7939,35889,9749,377,633,4,947,1656,46185,3070,2020-11-30,"Dale","Alabama",2344,54,1687,53,657,1,0.089,0.113,0.118,0.22,0.46
"24",24,203,12,"01047","Dallas County","Alabama",2.41,15.7910333786488,28.75,40029,5190,6705,11257,28210,10,224,23,25,280,39617,412,2020-11-30,"Dallas","Alabama",2265,32,1816,31,449,1,0.095,0.1,0.159,0.122,0.524
"25",25,737,14.5,"01049","DeKalb County","Alabama",2.69,35.3757798349071,21.47,71200,8001,11619,60972,1004,934,140,621,5899,1630,60980,10220,2020-11-30,"DeKalb","Alabama",4897,36,4394,35,503,1,0.084,0.051,0.106,0.179,0.58
"26",26,859,8.2,"01051","Elmore County","Alabama",2.63,50.7014402097701,12.71,81212,8315,11770,60824,17402,209,392,0,774,1611,78865,2347,2020-11-30,"Elmore","Alabama",4094,64,3509,60,585,4,0.042,0.095,0.127,0.252,0.485
"27",27,81,15.5,"01053","Escambia County","Alabama",2.57,15.247648981167,24.55,37328,4699,6476,23095,11920,1437,135,72,232,437,36490,838,2020-11-30,"Escambia","Alabama",1986,31,1545,30,441,1,0.114,0.026,0.188,0.285,0.387
"28",28,1646,10.4,"01055","Etowah County","Alabama",2.62,74.2505481228132,16.46,102939,13118,18877,82710,16212,751,739,66,751,1710,99059,3880,2020-11-30,"Etowah","Alabama",6351,66,5325,64,1026,2,0.096,0.103,0.178,0.122,0.501
"29",29,130,8.8,"01057","Fayette County","Alabama",2.34,10.201801349626,20.12,16585,2432,3392,14095,1978,0,108,6,0,398,16300,285,2020-11-30,"Fayette","Alabama",922,16,785,14,137,2,0.138,0.048,0.151,0.233,0.429
"30",30,170,12.8,"01059","Franklin County","Alabama",2.79,19.2113561545785,17.07,31542,3723,5100,26467,1388,488,119,0,2767,313,26209,5333,2020-11-30,"Franklin","Alabama",2542,33,2315,33,227,0,0.065,0.071,0.223,0.156,0.484
"31",31,171,13.7,"01061","Geneva County","Alabama",2.5,17.8043158513833,22.65,26491,3661,5152,22871,2529,210,109,4,243,525,25464,1027,2020-11-30,"Geneva","Alabama",1237,8,842,7,395,1,0.176,0.131,0.089,0.158,0.445
"32",32,82,11.4,"01063","Greene County","Alabama",2.83,5.02810013073651,38.92,8426,1178,1716,1445,6713,48,0,0,0,220,8283,143,2020-11-30,"Greene","Alabama",427,18,384,15,43,3,0.03,0.053,0.127,0.167,0.623
"33",33,156,8.8,"01065","Hale County","Alabama",2.6,8.92555700068266,28.03,14887,1918,2717,5898,8748,29,39,0,101,72,14757,130,2020-11-30,"Hale","Alabama",977,31,855,30,122,1,0.026,0.061,0.084,0.191,0.639
"34",34,148,11.4,"01067","Henry County","Alabama",2.52,11.7696657362901,15.62,17124,2418,3696,12179,4749,4,0,0,37,155,16676,448,2020-11-30,"Henry","Alabama",867,6,530,5,337,1,0.066,0.068,0.17,0.258,0.438
"35",35,1118,10.4,"01069","Houston County","Alabama",2.63,69.4820926648789,17.21,104352,12176,17615,72387,28078,305,873,18,522,2169,100915,3437,2020-11-30,"Houston","Alabama",5323,38,2903,29,2420,9,0.085,0.079,0.135,0.268,0.433
"36",36,539,9.6,"01071","Jackson County","Alabama",2.49,18.6584828351285,19.82,52094,6826,9972,47412,1799,615,215,77,552,1424,50589,1505,2020-11-30,"Jackson","Alabama",3271,23,3023,21,248,2,0.092,0.089,0.11,0.249,0.46
"37",37,9241,9.5,"01073","Jefferson County","Alabama",2.47,229.251338127605,16.58,659892,72211,99146,342591,281702,1564,10250,215,12398,11172,634844,25048,2020-11-30,"Jefferson","Alabama",32718,500,30823,456,1895,44,0.049,0.037,0.107,0.179,0.628
"38",38,49,9.4,"01075","Lamar County","Alabama",2.3,8.89409702789082,21.23,13933,2251,2938,12187,1558,0,0,0,119,69,13715,218,2020-11-30,"Lamar","Alabama",683,8,556,8,127,0,0.107,0.045,0.132,0.189,0.527
"39",39,743,9.1,"01077","Lauderdale County","Alabama",2.35,53.5128223620641,16.35,92585,12634,17876,80561,9364,417,612,61,179,1391,90173,2412,2020-11-30,"Lauderdale","Alabama",4133,54,2826,51,1307,3,0.093,0.119,0.141,0.179,0.469
"40",40,271,8.2,"01079","Lawrence County","Alabama",2.57,18.5430504610001,16.93,33171,4045,5787,25942,3627,1878,44,24,5,1651,32464,707,2020-11-30,"Lawrence","Alabama",1296,36,1142,36,154,0,0.162,0.08,0.088,0.251,0.419
"41",41,2809,7.9,"01081","Lee County","Alabama",2.58,101.227864438246,22.12,159287,12518,17739,111986,36675,226,6577,18,861,2944,153422,5865,2020-11-30,"Lee","Alabama",7785,66,4811,52,2974,14,0.053,0.064,0.138,0.183,0.562
