"","OBJECTID","total_pop_worked_home","percent_no_health_insurance","GEOID","NAME","State","avg_household_size","pop_density_sq_km","percent_below_poverty_level","total_population","total_households_w_someone_over_65","total_over_65","White","Black","American_Indian_Alaska_Native","Asian","Native_Hawaiian_Pacific_Islander","Other","Two_or_more","Not_Hispanic_Latino","Hispanic_Latino","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","date","county","state","cases","deaths","confirmed_cases","confirmed_deaths","probable_cases","probable_deaths","cases_per_1000ppl","homeoffice_per_1000ppl","high_mask_usage_sum","high_mask_usage","black_proportion","white_proportion","latino_proportion","non_white_proportion"
"1",1,675,7.1,"01001","Autauga County","Alabama",2.59,35.8534189940189,15.04,55200,5730,8050,42437,10565,159,568,32,409,1030,53672,1528,0.053,0.074,0.134,0.295,0.444,2020-11-30,"autauga","Alabama",2751,42,2459,37,292,5,49.8369565217391,12.2282608695652,0.739,1,0.191394927536232,0.768786231884058,0.0276811594202899,0.231213768115942
"2",2,5607,10.2,"01003","Baldwin County","Alabama",2.61,50.5415035640023,11.01,208107,27491,40665,179526,19764,1522,1680,9,2034,3572,198754,9353,0.083,0.059,0.098,0.323,0.436,2020-11-30,"baldwin","Alabama",8820,98,7148,84,1672,14,42.3820438524413,26.9428707347662,0.759,1,0.0949703758162868,0.862661995992446,0.0449432263210752,0.137338004007554
"3",3,111,11.2,"01005","Barbour County","Alabama",2.49,11.247981205619,25.94,25782,3325,4634,12216,12266,72,96,1,778,353,24676,1106,0.067,0.121,0.12,0.201,0.491,2020-11-30,"barbour","Alabama",1175,11,781,11,394,0,45.574431774106,4.30532929951129,0.692,1,0.47575828097122,0.473818943448918,0.0428981459933287,0.526181056551082
"4",4,208,7.9,"01007","Bibb County","Alabama",2.99,13.9731140005546,14.15,22527,2419,3661,17268,5018,8,37,0,9,187,21980,547,0.02,0.034,0.096,0.278,0.572,2020-11-30,"bibb","Alabama",1188,17,1072,13,116,4,52.736715940871,9.23336440715586,0.85,1,0.222754916322635,0.766546810494074,0.0242819727438185,0.233453189505926
"5",5,477,11,"01009","Blount County","Alabama",2.77,34.5158164233531,14.29,57645,6659,10233,55054,862,141,198,18,437,935,52384,5261,0.053,0.114,0.18,0.194,0.459,2020-11-30,"blount","Alabama",2946,40,2213,38,733,2,51.1059068436118,8.27478532396565,0.653,1,0.0149535952814641,0.955052476363952,0.0912655043802585,0.0449475236360483
"6",6,108,10.8,"01011","Bullock County","Alabama",2.75,6.41761954967603,33.67,10352,1059,1616,2276,7893,122,56,0,5,0,10301,51,0.031,0.04,0.144,0.286,0.5,2020-11-30,"bullock","Alabama",700,19,650,15,50,4,67.6197836166924,10.4327666151468,0.786,1,0.762461360123648,0.219860896445131,0.00492658423493045,0.780139103554869
"7",7,122,10.2,"01013","Butler County","Alabama",2.94,9.95277078503475,22.91,20025,2231,3806,10414,9055,2,231,0,0,323,19958,67,0.102,0.053,0.257,0.137,0.451,2020-11-30,"butler","Alabama",1173,42,1110,41,63,1,58.5767790262172,6.09238451935081,0.588,0,0.452184769038702,0.520049937578027,0.0033458177278402,0.479950062421973
"8",8,1439,9.4,"01015","Calhoun County","Alabama",2.49,73.3486880019654,19.12,115098,13834,19386,85558,23676,353,1065,9,1701,2736,110895,4203,0.152,0.108,0.13,0.167,0.442,2020-11-30,"calhoun","Alabama",6366,121,5320,101,1046,20,55.3093885210864,12.5023892682757,0.609,1,0.205702966167961,0.743349145945195,0.0365167075014336,0.256650854054805
"9",9,258,10.8,"01017","Chambers County","Alabama",2.46,21.8926380821564,17.86,33826,4558,6409,19483,13319,97,405,0,175,347,33058,768,0.117,0.037,0.15,0.136,0.56,2020-11-30,"chambers","Alabama",1772,50,1117,42,655,8,52.3857387808195,7.62726896470171,0.696,1,0.393750369538225,0.57597705906699,0.0227044285460888,0.42402294093301
"10",10,169,8.3,"01019","Cherokee County","Alabama",2.41,18.0333282957246,17.17,25853,3861,5621,23997,1267,236,55,0,90,208,25455,398,0.135,0.027,0.161,0.158,0.52,2020-11-30,"cherokee","Alabama",1029,24,724,18,305,6,39.801957219665,6.5369589602754,0.678,1,0.0490078520867984,0.928209492128573,0.0153947317526012,0.0717905078714269
